appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
874030,To the Core,NHTV Breda University of Applied Sciences,NHTV Breda University of Applied Sciences,,159,77,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1283630,Frog Bath,Lafterburn Studios,Lafterburn Studios,,193,34,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
792570,BattleCON: Online,Level 99 Games,Level 99 Games,,201,80,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1397980,THE NORMAL THING,Orata Studio,Orata Studio,,457,23,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
987900,Seeker,Sheer Studios,Sheer Studios,,592,72,0,"50,000 .. 100,000",0,0,0,0,0,0,0,1
2735870,Underminer,Team GongMyeong,Jungle Game Lab,,784,57,0,"50,000 .. 100,000",0,0,0,0,0,0,0,1
3187030,Satisfactory Modeler,David Price,David Price,,825,24,0,"50,000 .. 100,000",0,0,0,0,0,0,0,472
1370570,First Person Shooter Kit Showcase,Kelint,Kelint,,62,10,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
377150,Tactical Genius Online,Pixeltales.ru,Pixeltales.ru,,155,72,0,"50,000 .. 100,000",201,0,201,0,0,0,0,0
543650,Last Days,CrackedGhostGames,2ndDimensionGhost,,27,21,0,"50,000 .. 100,000",294,0,287,0,0,0,0,0
340200,Bloop,2SD,KISS ltd,,170,192,0,"50,000 .. 100,000",8,0,9,0,0,0,0,0
229950,Resident Evil 6 Benchmark Tool,Capcom,Capcom,,354,61,0,"50,000 .. 100,000",0,0,0,0,0,0,0,2
611750,Welcome to Hanwell,Steel Arts,Steel Arts,,167,182,0,"50,000 .. 100,000",147,0,278,0,0,0,0,0
651470,Onirim - Solitaire Card Game,InPatience,InPatience,,207,38,0,"50,000 .. 100,000",120,0,120,0,0,0,0,3
1472250,ROG CITADEL XV,"ASUS GLOBAL PTE. LTD, Moonshine Creation CO., LTD.",ASUS GLOBAL PTE. LTD,,439,189,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1243140,Hellpoint: The Thespian Feast,Cradle Games,tinyBuild,,536,229,0,"50,000 .. 100,000",101,0,25,0,0,0,0,1
1389630,High Entropy: Challenges,Álvaro García (binarynonsense),Álvaro García (binarynonsense),,1173,54,0,"50,000 .. 100,000",0,0,0,0,0,0,0,3
1344840,AKER FERN,Chaos Group Games,Chaos Group Games,,93,23,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1651870,Nighthunt,Neighborhood Games,Neighborhood Games,,138,113,0,"50,000 .. 100,000",0,0,0,0,0,0,0,6
623840,Ambre - a heartbreaking kinetic novel,Träumendes Mädchen,Träumendes Mädchen,,497,160,0,"50,000 .. 100,000",179,0,59,0,0,0,0,0
