appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,owners_min,owners_max,owners_median,release_date,genres,is_free,metacritic_score,dlc_count
394360,Hearts of Iron IV,Paradox Development Studio,Paradox Interactive,,305168,36982,0,"5,000,000 .. 10,000,000",16451,725,3281,399,4999,4999,0,32112,5000000,10000000,7500000.0,"6 Jun, 2016","Simulation, Strategy",False,83,27
322170,Geometry Dash,RobTop Games,RobTop Games,,401026,28895,0,"5,000,000 .. 10,000,000",5236,264,546,42,499,499,0,27850,5000000,10000000,7500000.0,"22 Dec, 2014","Action, Indie",False,,0
224260,No More Room in Hell,No More Room in Hell Team,Lever Games,,66753,7500,0,"5,000,000 .. 10,000,000",581,120,108,123,0,0,0,473,5000000,10000000,7500000.0,"31 Oct, 2013","Action, Indie, Free To Play",True,,1
301520,Robocraft,Freejam,Freejam,,86240,31815,0,"5,000,000 .. 10,000,000",1397,0,224,0,0,0,0,3,5000000,10000000,7500000.0,"24 Aug, 2017","Action, Indie, Massively Multiplayer, RPG, Simulation, Free To Play",False,,0
767560,War Robots,MY.GAMES,MY.GAMES,,15951,10624,0,"5,000,000 .. 10,000,000",7946,4910,80,9059,0,0,0,1280,5000000,10000000,7500000.0,"4 Apr, 2018","Action, Free To Play",True,,0
466240,Deceit,World Makers,World Makers,,73606,19421,0,"5,000,000 .. 10,000,000",862,43,124,76,0,0,0,155,5000000,10000000,7500000.0,"3 Mar, 2017","Action, Indie, Free To Play",True,,0
284160,BeamNG.drive,BeamNG,BeamNG,,313873,8405,0,"5,000,000 .. 10,000,000",4942,184,663,60,2499,2499,0,15863,5000000,10000000,7500000.0,"29 May, 2015","Racing, Simulation, Early Access",False,,0
278360,A Story About My Uncle,Gone North Games,Coffee Stain Publishing,,26479,2437,0,"5,000,000 .. 10,000,000",451,0,236,0,1499,1499,0,8,5000000,10000000,7500000.0,"28 May, 2014","Adventure, Casual, Indie",False,73,0
264710,Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,,304449,9258,0,"5,000,000 .. 10,000,000",1944,217,927,189,2999,2999,0,2719,5000000,10000000,7500000.0,"23 Jan, 2018","Adventure, Indie",False,87,1
333930,Dirty Bomb,Splash Damage,Warchest Ltd.,,46464,10703,0,"5,000,000 .. 10,000,000",651,0,82,0,0,0,0,40,5000000,10000000,7500000.0,"2 Jun, 2015","Action, Free To Play",True,63,0
700330,SCP: Secret Laboratory,Northwood Studios,Northwood Studios,,195923,18386,0,"5,000,000 .. 10,000,000",1593,376,90,124,0,0,0,4696,5000000,10000000,7500000.0,"29 Dec, 2017","Action, Casual, Indie, RPG, Free To Play",True,,0
582660,Black Desert,Pearl Abyss,Pearl Abyss,,64416,22503,0,"5,000,000 .. 10,000,000",8146,3161,261,1600,999,999,0,14345,5000000,10000000,7500000.0,"24 May, 2017","Action, Adventure, Massively Multiplayer, RPG, Strategy",False,80,3
1046930,Dota Underlords,Valve,Valve,,74753,16141,0,"5,000,000 .. 10,000,000",3023,138,381,122,0,0,0,1008,5000000,10000000,7500000.0,"20 Jun, 2019","Casual, Strategy, Free To Play",True,,0
244210,Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,,140238,11153,0,"5,000,000 .. 10,000,000",2545,157,258,55,1999,1999,0,8961,5000000,10000000,7500000.0,"19 Dec, 2014","Indie, Racing, Simulation, Sports",False,85,11
1818750,MultiVersus,Player First Games,Warner Bros. Games,,90318,27894,0,"5,000,000 .. 10,000,000",621,0,173,0,0,0,0,55,5000000,10000000,7500000.0,"19 Jul, 2022","Action, Free To Play",False,75,0
30,Day of Defeat,Valve,Valve,,6414,688,0,"5,000,000 .. 10,000,000",1385,0,15,0,499,499,0,87,5000000,10000000,7500000.0,"1 May, 2003",Action,False,79,0
363970,Clicker Heroes,Playsaurus,Playsaurus,,54989,6315,0,"5,000,000 .. 10,000,000",6447,792,544,1106,0,0,0,2019,5000000,10000000,7500000.0,"13 May, 2015","Adventure, Casual, Indie, RPG, Simulation, Strategy, Free To Play",True,,6
379720,DOOM,id Software,Bethesda Softworks,,198001,9278,0,"5,000,000 .. 10,000,000",791,112,480,135,1999,1999,0,1590,5000000,10000000,7500000.0,"12 May, 2016",Action,False,85,1
253710,theHunter Classic,"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",,24959,17994,0,"5,000,000 .. 10,000,000",1158,30,56,30,0,0,0,417,5000000,10000000,7500000.0,"3 Jun, 2014","Action, Adventure, Free To Play, Simulation, Sports",True,,1
1782210,Crab Game,Dani,Dani,,139538,12895,0,"5,000,000 .. 10,000,000",2577,3132,86,50,0,0,0,2921,5000000,10000000,7500000.0,"29 Oct, 2021","Action, Casual, Free To Play, Indie, Racing",True,,0
844870,KurtzPel,KOG,KOG,,20936,13480,0,"5,000,000 .. 10,000,000",1747,0,122,0,0,0,0,30,5000000,10000000,7500000.0,"30 Apr, 2019","Action, Free To Play, Early Access",True,,0
365670,Blender,Blender Foundation,Blender Foundation,,70186,2695,0,"5,000,000 .. 10,000,000",4773,755,285,227,0,0,0,9640,5000000,10000000,7500000.0,"24 Apr, 2015","Animation & Modeling, Design & Illustration, Video Production",True,,0
1286830,STAR WARS: The Old Republic,Broadsword,Electronic Arts,,60864,7088,0,"5,000,000 .. 10,000,000",2484,494,325,754,0,0,0,6625,5000000,10000000,7500000.0,"21 Jul, 2020","Massively Multiplayer, RPG, Free To Play",True,85,3
1293830,Forza Horizon 4,Playground Games,Xbox Game Studios,,263942,26975,0,"5,000,000 .. 10,000,000",3299,1067,756,53,0,0,0,4864,5000000,10000000,7500000.0,"9 Mar, 2021",Racing,False,,0
813820,Realm Royale,Heroic Leap Games,Hi-Rez Studios,,43223,13520,0,"5,000,000 .. 10,000,000",1097,0,158,0,0,0,0,2,5000000,10000000,7500000.0,"5 Jun, 2018","Action, Free To Play, Early Access",False,,0
646570,Slay the Spire,Mega Crit,Mega Crit,,178250,4027,0,"5,000,000 .. 10,000,000",4321,358,1655,120,849,2499,66,15038,5000000,10000000,7500000.0,"23 Jan, 2019","Indie, Strategy",False,89,1
439700,Z1 Battle Royale: Test Server,Daybreak Game Company,Daybreak Game Company,,1341,1224,0,"5,000,000 .. 10,000,000",456,0,20,0,0,0,0,1,5000000,10000000,7500000.0,"24 Feb, 2016",Massively Multiplayer,False,,0
1118200,People Playground,mestiez,Studio Minus,,277746,4017,0,"5,000,000 .. 10,000,000",3644,289,684,248,999,999,0,4505,5000000,10000000,7500000.0,"23 Jul, 2019","Action, Casual, Indie, Simulation",False,,0
1049590,Eternal Return,Nimble Neuron,"Nimble Neuron, SapStaR Games",,51694,13352,0,"5,000,000 .. 10,000,000",4761,550,385,429,0,0,0,12341,5000000,10000000,7500000.0,"19 Jul, 2023","Indie, Strategy, Free To Play",True,,2
223710,Cry of Fear,Team Psykskallar,Team Psykskallar,,65852,8556,0,"5,000,000 .. 10,000,000",233,5,61,8,0,0,0,405,5000000,10000000,7500000.0,"25 Apr, 2013","Action, Adventure, Indie",True,,0
513710,SCUM,Gamepires,Gamepires,,83704,28411,0,"5,000,000 .. 10,000,000",6795,1693,948,732,4499,4499,0,8535,5000000,10000000,7500000.0,"17 Jun, 2025","Action, Adventure, Indie, Massively Multiplayer",False,,13
677620,Splitgate: Arena Warfare,1047 Games,1047 Games,,102336,9404,0,"5,000,000 .. 10,000,000",526,0,220,0,0,0,0,185,5000000,10000000,7500000.0,"24 May, 2019","Action, Free To Play, Indie",True,,0
